Title, Author, Column, Publication, City, Published, URI
"Japan's wage watershed raises economic hopes", "Kana Inagaki and Eri Sugiura", "Japanese war on deflation", "Financial Times", "Tokyo", "JANUARY 22 2023", https://www.ft.com/content/bf047712-a597-4634-8de5-f2d789fcec37
"Bill Ackman takes stake in Bremont after buying its wrist watches", "Ortenca Aliaj", "Bill Ackman", "Financial Times", ""New York", "JANUARY 23 2023", https://www.ft.com/content/02a7ba9c-64c3-4074-9935-808e47b3aef8
"Elliot takes multibillion-dollar activist stake in Salesforce", "Ortenca Aliaj and Antoine Gara / Dave Lee", "Salesforce.com Inc", "Financial Times", "New York / San Francisco", "JANUARY 23 2023", https://www.ft.com/content/d987146b-98b4-42bc-ab2f-7dd8ff167343
"Citadel breaks records with $16bn profit", "Laurence Fletcher", "Hedge funds", "Financial Times", "London", "JANUARY 23 2023", https://www.ft.com/content/10cdafc9-c906-45af-bf0f-21776cef3dc1
"Can you predict the year ahead better than superforecasters?", "Alan Smith, Joanna S Kao, Ivo Murrell, Irene de la Torre Arenas, Caroline Nevitt and Ændra Rininsland", "Economic forecasting", "Financial Times", "", "JANUARY 22 2023", https://www.ft.com/content/d1172b27-ec24-4c2d-b18e-230d2bfc8fda
"China celebrates lunar new year as Covid infections hit 80%", "Primrose Riordan", "Chinese politics & policy", "Financial Times", "Hong Kong", "JANUARY 22 2023", https://www.ft.com/content/50de38e2-b2ae-41ab-b9ab-8d07d009d8a8
"What it would take for Apple to disentangle itself from China", "Patrick McGee", "The Big Read, Apple Inc", "Financial Times", "San Francisco", "JANUARY 18 2023", https://www.ft.com/content/74f7e284-c047-4cc4-9b7a-408d40611bfa
"Banks prepare for deepest job cuts since the financial crisis", "Owen Walker / Katie Martin", "Financial job losses", "Financial Times", "London / Davos", "JANUARY 22 2023", https://www.ft.com/content/4beafb70-ec1a-41d3-b18e-33a85bf2a062
"Investors contradict Fed officials on US interest rate reversal", "Kate Duguid / Colby Smith", "US interest rates", "Financial Times", "New York / Washington", "JANUARY 22 2023", https://www.ft.com/content/3af5985e-516f-435f-9a2d-31f6770fcfa1
"'Nightmare': collapse of leading crypto lender traps investors", "Nikou Asgari", "Cryptocurrencies", "Financial Times", "London", "JANUARY 21 2023", https://www.ft.com/content/64648e10-cc09-4304-a274-87b66d37d3bc
"Alphabet swings axe as Big Tech retreats from pandemic boom", "Madhumita Murgia and Tim Bradshaw / Richard Waters", "Big tech", "Financial Times", "London / San Francisco", "JANUARY 21 2023", https://www.ft.com/content/2b086e98-bb08-490b-8d7b-9325f3c69783
"Netflix co-founder Reed Hastings to step down as chief executive", "Anna Nicolaou", "Netflix Inc", "Financial Times", "New York", "JANUARY 20 2023", https://www.ft.com/content/166a7cac-ca72-4a6e-ab0a-48bcb8cef355
"'Passion economy' platforms cut costs in tech downturn", "Ian Johnston and Arjun Neil Alim", "Tech start-ups", "Financial Times", "London", "JANUARY 19 2023", https://www.ft.com/content/99452cdd-5532-4c6a-85e6-733c2fde3e9c
"China's Xi Jinping warns of Covid spread as millions travel for lunar new year", "Kai Waluszewski / Edward White", "Coronavirus pandemic", "Financial Times", "Beijing / China correspondent", "JANUARY 19 2023", https://www.ft.com/content/fe2ba378-98a7-4768-8f56-1d7e6c4d9042
"The US hit the debt ceiling. What happens next?", "Lauren Fedor / Colby Smith", "US budget", "Financial Times", "Washington / New York", "JANUARY 20 2023", https://www.ft.com/content/86cf26ec-757b-4d47-8a7c-4a557d6cf549
"Looming Twitter interest payment leaves Elon Musk with unpalatable options", "Tabby Kinder and Richard Waters / Eric Platt", "Elon Musk", "Financial Times", "San Francisco / New York", "JANUARY 17 2023", https://www.ft.com/content/25f67d89-2940-43b9-9a42-bfc34d262631
"Morgan Stanley retains edge over Goldman Sachs due to booming wealth unit", "Joshua Franklin and Brooke Masters", "US banks", "Financial Times", "New York", "JANUARY 18 2023", https://www.ft.com/content/bea23439-f30c-4d57-9704-0e36118a7268
"Alibaba enlists academics in lobbying effort to restore reputation", "Qianer Liu", "Alibaba", "Financial Times", "Hong Kong", "JANUARY 14 2023", https://www.ft.com/content/782da062-45c0-46a9-a6c7-65806042ba56
"JPMorgan says it may have to pay more for deposits in 'warning shot' for industry", "Joshua Franklin", "US banks", "Financial Times", "New York", "JANUARY 14 2023", https://www.ft.com/content/df30d836-80ce-444d-a15c-4863756e4144
"BlackRock's Larry Fink warns of 'substantial' impact from markets on earnings", "Emma Dunkley", "BlackRock Inc", "Financial Times", "London", "JANUARY 14 2023", https://www.ft.com/content/5de1e07f-5dfa-4313-904c-039985477724
"How Germany became Europe's leading Big Tech trust buster", "Javier Espinoza", "The Big Read, EU business regulation", "Financial Times", "Berlin", "JANUARY 11 2023", https://www.ft.com/content/06e2f3ea-a752-48ca-beb1-ca1a948afcd7
